tag number,Running bleed,Latest Bleed,Earliest bleed,Bleed point in range,weeks age at bleed,Gender,bleed number,latest bleed number,Lookup number,Countif included,Parameter bleed list,Grouped genotype,Date of Bleed,Tag trimmed,Combined name & treatment,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),0,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),0,Treatment,Days post treatment,Unique note,aus,Date of bleed,Status,Unique mouse number
18646-6-TX7 >8 - 12,18646-6-TX7 >8 - 12-1,18646-6-TX7 >8 - 12-1,18646-6-TX7 >8 - 12-1,yes,10.8,Male,1,1,,,18646-6-TX7 >8 - 12-1,TX7-6 Vav-cre; Brca1f/+ post-40 days CY >8 - 12,2/2/16,18646-6-TX7,TX7-6 Vav-cre; Brca1f/+ post-40 days CY,11/18/15,2.82,0.84,1.7,0.19,,7.25,10.2,34.1,47,14.1,29.9,20.1,601,4.2,CY treatment mice - Experiment 1 - Day 40 overall (retreated with CY 1/13/16),CY,40,,CY treatment mice - Experiment 1 - Day 40 overall (retreated with CY 1/13/16),42402,,18646-6-TX7
18649-6-TX7 >8 - 12,18649-6-TX7 >8 - 12-1,18649-6-TX7 >8 - 12-1,18649-6-TX7 >8 - 12-1,yes,11.2,Female,1,1,,,18649-6-TX7 >8 - 12-1,TX7-6 Vav-cre; Brca1f/+ post-40 days CY >8 - 12,2/2/16,18649-6-TX7,TX7-6 Vav-cre; Brca1f/+ post-40 days CY,11/15/15,8.48,2.02,6.12,0.32,,9.32,14,46.6,50,15,30,20.1,923,3.8,CY treatment mice - Experiment 1 - Day 40 overall (retreated with CY 1/13/16),CY,40,,CY treatment mice - Experiment 1 - Day 40 overall (retreated with CY 1/13/16),42402,,18649-6-TX7
18652-6-TX7 >8 - 12,18652-6-TX7 >8 - 12-1,18652-6-TX7 >8 - 12-1,18652-6-TX7 >8 - 12-1,yes,11.2,Male,1,1,,,18652-6-TX7 >8 - 12-1,TX7-6 WT post-40 days CY >8 - 12,2/2/16,18652-6-TX7,TX7-6 WT post-40 days CY,11/15/15,6.36,1.21,4.78,0.31,,8.14,11.2,34.9,42.9,13.8,32.1,19.1,985,4.1,CY treatment mice - Experiment 1 - Day 40 overall (retreated with CY 1/13/16),CY,40,,CY treatment mice - Experiment 1 - Day 40 overall (retreated with CY 1/13/16),42402,,18652-6-TX7
18681-6-TX7 >8 - 12,18681-6-TX7 >8 - 12-1,18681-6-TX7 >8 - 12-1,18681-6-TX7 >8 - 12-1,yes,10.4,Female,1,1,,,18681-6-TX7 >8 - 12-1,TX7-6 Vav-cre; Brca1f/+ post-40 days CY >8 - 12,2/2/16,18681-6-TX7,TX7-6 Vav-cre; Brca1f/+ post-40 days CY,11/21/15,5.1,1.46,3.38,0.25,,8.27,12.7,45.2,54.6,15.4,28.1,19.1,1140,4.3,CY treatment mice - Experiment 1 - Day 40 overall (retreated with CY 1/13/16),CY,40,,CY treatment mice - Experiment 1 - Day 40 overall (retreated with CY 1/13/16),42402,,18681-6-TX7
,,,,,6057.4,,,,,,,WT (pure),2/2/16,18805,C57BL6,1/0/00,3.24,1.28,1.74,0.18,,7.79,11.5,42.4,54.4,14.8,27.1,17.5,943,4.5,CY treatment mice - Experiment 3 controls in NA facility - Day 12 bleed,#N/A,#N/A,47,CY treatment mice - Experiment 3 controls in NA facility - Day 12 bleed,42402,,18805
,,,,,6057.4,,,,,,,WT (pure),2/2/16,18806,C57BL6,1/0/00,2.74,1.09,1.41,0.23,,8.96,12.9,46.6,52,14.4,27.7,18.1,1227,4.2,CY treatment mice - Experiment 3 controls in NA facility - Day 12 bleed,#N/A,#N/A,,CY treatment mice - Experiment 3 controls in NA facility - Day 12 bleed,42402,,18806
,,,,,6057.4,,,,,,,WT (pure),2/2/16,18807,C57BL6,1/0/00,5.58,2.18,2.87,0.52,,9.06,13.8,48.7,53.7,15.2,28.3,17.9,1096,4.1,CY treatment mice - Experiment 3 controls in NA facility - Day 12 bleed,#N/A,#N/A,,CY treatment mice - Experiment 3 controls in NA facility - Day 12 bleed,42402,,18807
,,,,,6057.4,,,,,,,WT (pure),2/2/16,18808,C57BL6,1/0/00,5.28,2.3,2.58,0.28,,8.54,12.8,46.3,54.2,15,27.6,18.1,968,4.4,CY treatment mice - Experiment 3 controls in NA facility - Day 12 bleed,#N/A,#N/A,,CY treatment mice - Experiment 3 controls in NA facility - Day 12 bleed,42402,,18808
,,,,,,,,,,,,Genotype,Date of Bleed,out,Genotype,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),Notes,#N/A,#N/A,,Notes,Date of Bleed,,
,,,,,46.2,,,,,,,Vav-cre; Brca1f/+; Cbpf/+,2/4/16,17099,Vav-cre; Brca1f/+; Cbpf/+,3/17/15,18.16,5.58,12.07,0.42,,9.89,13.9,45.9,46.4,14.1,30.3,19.5,882,4.9,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,#N/A,#N/A,48,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,42404,,
,,,,,36.4,,,,,,,Vav-cre; Cbpf/+,2/4/16,17400,Vav-cre; Cbpf/+,5/25/15,9.24,2.66,6.26,0.25,,7.83,11.5,37,47.3,14.7,31.1,18,611,5.5,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,#N/A,#N/A,,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,42404,,
,,,,,36.4,,,,,,,Vav-cre; Brca1f/+; Cbpf/+,2/4/16,17401,Vav-cre; Brca1f/+; Cbpf/+,5/25/15,5.9,1.45,4.26,0.18,,7.38,10.6,35.9,48.6,14.4,29.5,16.1,812,5.2,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,#N/A,#N/A,,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,42404,,
17974 >12 - 24,17974 >12 - 24-2,17974 >12 - 24-2,,yes,23.8,Female,2,2,,,,WT (pure) >12 - 24,2/4/16,17974,WT,8/21/15,6.66,1.79,4.49,0.27,,7.8,11.9,43.6,55.9,15.3,27.3,18.8,562,4.9,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,#N/A,#N/A,,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,42404,,
18053 -4-8,18053 -4-8-1,18053 -4-8-1,18053 -4-8-1,yes,5.2,Female,1,1,,,18053 -4-8-1,Vav-cre; Brca1f/f (pure) -4-8,2/4/16,18053,Vav-cre; Brca1f/f,12/29/15,5,0.7,3.96,0.23,,8.55,12.2,51.6,60.3,14.3,23.6,20.6,718,4.6,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,#N/A,#N/A,,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,42404,,
18054 -4-8,18054 -4-8-1,18054 -4-8-1,18054 -4-8-1,yes,5.2,Male,1,1,,,18054 -4-8-1,vav-cre; brca1f/+ (pure) -4-8,2/4/16,18054,Vav-cre; Brca1f/+,12/29/15,7.46,2.19,5.08,0.18,,9.23,14.6,51.9,56.2,15.8,28.1,23.9,865,4.4,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,#N/A,#N/A,,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,42404,,
18563 >12 - 24,18563 >12 - 24-1,,18563 >12 - 24-1,yes,12.8,Female,1,2,,,18563 >12 - 24-1,Vav-cre; Brca1f/+; Cbpf/+ >12 - 24,2/4/16,18563,Vav-cre; Brca1f/+; Cbpf/+,11/6/15,4.84,0.97,3.54,0.3,,6.25,9.6,34.5,55.2,15.4,27.8,19.5,440,5.2,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,#N/A,#N/A,,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,42404,,
18564 >12 - 24,18564 >12 - 24-1,,18564 >12 - 24-1,yes,12.8,Male,1,6,,,18564 >12 - 24-1,Vav-cre; Brca1f/+; Cbpf/+ >12 - 24,2/4/16,18564,Vav-cre; Brca1f/+; Cbpf/+,11/6/15,7.92,1.54,6,0.26,,7.12,11.1,36.5,51.3,15.6,30.4,16.1,409,5,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,#N/A,#N/A,,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,42404,,
18639 >8 - 12,18639 >8 - 12-2,18639 >8 - 12-2,,yes,11.1,Female,2,2,,,,vav-cre >8 - 12,2/4/16,18639,Vav-cre,11/18/15,8.72,2.27,5.95,0.38,,8.71,12.3,42.2,48.5,14.1,29.1,17.4,724,4,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,#N/A,#N/A,,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,42404,,
18744 >8 - 12,18744 >8 - 12-2,,,yes,10,Female,2,3,,,,Vav-cre; Brca1f/f (pure) >8 - 12,2/4/16,18744,Vav-cre; Brca1f/f,11/26/15,1.84,0.3,1.35,0.16,,5.08,8.6,33.9,66.8,16.9,25.4,22.6,442,5.2,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,#N/A,#N/A,,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,42404,,
18745 >8 - 12,18745 >8 - 12-2,,,yes,10,Female,2,3,,,,vav-cre; brca1f/+ (pure) >8 - 12,2/4/16,18745,Vav-cre; Brca1f/+,11/26/15,6.32,1.06,4.88,0.28,,12.8,10.1,63.7,49.8,7.9,15.9,18.6,909,4.5,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,#N/A,#N/A,,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,42404,,
18747 >8 - 12,18747 >8 - 12-2,,,yes,10,Female,2,3,,,,Vav-cre; Brca1f/f (pure) >8 - 12,2/4/16,18747,Vav-cre; Brca1f/f,11/26/15,1.28,0.26,0.83,0.18,,5.92,11.6,40.9,69.1,19.6,28.4,19.2,310,5.5,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,#N/A,#N/A,,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,42404,,
18749 >8 - 12,18749 >8 - 12-2,,,yes,10,Female,2,3,,,,vav-cre; brca1f/+ (pure) >8 - 12,2/4/16,18749,Vav-cre; Brca1f/+,11/26/15,11.18,3.62,6.8,0.46,,9.82,14.2,54.4,55.4,14.5,26.1,20.4,745,4.5,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,#N/A,#N/A,,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,42404,,
18812 >8 - 12,18812 >8 - 12-1,18812 >8 - 12-1,18812 >8 - 12-1,yes,8.2,Male,1,1,,,18812 >8 - 12-1,vav-cre >8 - 12,2/4/16,18812,Vav-cre,12/8/15,12.36,2.85,9.01,0.47,,10.3,15.5,52.5,51,15,29.5,17.3,996,3.9,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,#N/A,#N/A,,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,42404,,
18813 >8 - 12,18813 >8 - 12-1,18813 >8 - 12-1,18813 >8 - 12-1,yes,8.2,Male,1,1,,,18813 >8 - 12-1,vav-cre; brca1f/+ (pure) >8 - 12,2/4/16,18813,Vav-cre; Brca1f/+,12/8/15,9.3,2.63,6.26,0.31,,7.91,12.2,39.5,50,15.4,30.9,16.4,552,4.1,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,#N/A,#N/A,,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,42404,,
18814 >8 - 12,18814 >8 - 12-1,,18814 >8 - 12-1,yes,8.2,Male,1,2,,,18814 >8 - 12-1,Vav-cre; Brca1f/f (pure) >8 - 12,2/4/16,18814,Vav-cre; Brca1f/f ,12/8/15,2.76,1.32,1.26,0.16,,6.81,12.1,48,70.5,17.8,25.2,20,918,4.5,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,#N/A,#N/A,,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,42404,,
18816 >8 - 12,18816 >8 - 12-1,,18816 >8 - 12-1,yes,8.2,Male,1,2,,,18816 >8 - 12-1,vav-cre; brca1f/+ (pure) >8 - 12,2/4/16,18816,Vav-cre; Brca1f/+,12/8/15,9.42,2.07,6.85,0.37,,9.15,13.5,50.7,55.4,14.8,26.6,16.7,750,4.7,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,#N/A,#N/A,,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,42404,,
18818 >8 - 12,18818 >8 - 12-1,,18818 >8 - 12-1,yes,8.2,Male,1,2,,,18818 >8 - 12-1,Vav-cre; Brca1f/f (pure) >8 - 12,2/4/16,18818,Vav-cre; Brca1f/f,12/8/15,5.92,3.32,2.36,0.19,,6.87,12.8,51.2,74.5,18.6,25,16.5,1031,4.5,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,#N/A,#N/A,,Biweekly Bleeds from clean Vav-cre; Brca1F/F colony and Vav; Brca1; Cbp colony,42404,,
18269-2-TX10 >12 - 24,18269-2-TX10 >12 - 24-1,18269-2-TX10 >12 - 24-1,18269-2-TX10 >12 - 24-1,yes,18.2,,1,1,,,18269-2-TX10 >12 - 24-1,TX10-2 WT post-7 days saline >12 - 24,2/4/16,18269-2-TX10,TX10-2 WT post-7 days saline,9/29/15,3.36,0.42,2.75,0.15,,5.58,8.5,29.1,52.1,15.2,29.2,16.9,400,4.8,Cyclophosphamide Experiment 4 - Day 7,saline,7,49,Cyclophosphamide Experiment 4 - Day 7,42404,,18269-2-TX10
18640-2-TX10 >8 - 12,18640-2-TX10 >8 - 12-1,18640-2-TX10 >8 - 12-1,18640-2-TX10 >8 - 12-1,yes,11.1,Female,1,1,,,18640-2-TX10 >8 - 12-1,TX10-2 Vav-cre; Brca1f/f  post-7 days saline >8 - 12,2/4/16,18640-2-TX10,TX10-2 Vav-cre; Brca1f/f  post-7 days saline,11/18/15,1.9,0.93,0.79,0.14,,6.57,11,40.5,61.6,16.7,27.2,18,601,4.8,Cyclophosphamide Experiment 4 - Day 7,saline,7,,Cyclophosphamide Experiment 4 - Day 7,42404,,18640-2-TX10
18641-2-TX10 >8 - 12,18641-2-TX10 >8 - 12-1,18641-2-TX10 >8 - 12-1,18641-2-TX10 >8 - 12-1,yes,11.1,Female,1,1,,,18641-2-TX10 >8 - 12-1,TX10-2 Vav-cre; Brca1f/f  post-7 days saline >8 - 12,2/4/16,18641-2-TX10,TX10-2 Vav-cre; Brca1f/f  post-7 days saline,11/18/15,0.34,0.06,0.19,0.08,,4.5,6.9,26.2,58.3,15.3,26.3,20.7,163,7.3,Cyclophosphamide Experiment 4 - Day 7,saline,7,,Cyclophosphamide Experiment 4 - Day 7,42404,,18641-2-TX10
18654-2-TX10 >8 - 12,18654-2-TX10 >8 - 12-1,18654-2-TX10 >8 - 12-1,18654-2-TX10 >8 - 12-1,yes,11.7,Female,1,1,,,18654-2-TX10 >8 - 12-1,TX10-2 Vav-cre; Brca1f/f  post-7 days saline >8 - 12,2/4/16,18654-2-TX10,TX10-2 Vav-cre; Brca1f/f  post-7 days saline,11/14/15,0.48,0.04,0.26,0.18,,5.8,10.9,39,67.3,18.8,27.9,16.4,613,6.1,Cyclophosphamide Experiment 4 - Day 7,saline,7,,Cyclophosphamide Experiment 4 - Day 7,42404,,18654-2-TX10
18657-2-TX10 >8 - 12,18657-2-TX10 >8 - 12-1,18657-2-TX10 >8 - 12-1,18657-2-TX10 >8 - 12-1,yes,11.7,Male,1,1,,,18657-2-TX10 >8 - 12-1,TX10-2 WT post-7 days saline >8 - 12,2/4/16,18657-2-TX10,TX10-2 WT post-7 days saline,11/14/15,4.64,2.18,1.93,0.49,,5.34,7.9,29.6,55.5,14.8,26.7,15.9,499,4.6,Cyclophosphamide Experiment 4 - Day 7,saline,7,,Cyclophosphamide Experiment 4 - Day 7,42404,,18657-2-TX10
18809-2-TX10 >8 - 12,18809-2-TX10 >8 - 12-1,18809-2-TX10 >8 - 12-1,18809-2-TX10 >8 - 12-1,yes,8.2,Female,1,1,,,18809-2-TX10 >8 - 12-1,TX10-2 Vav-cre; Brca1f/f  post-7 days saline >8 - 12,2/4/16,18809-2-TX10,TX10-2 Vav-cre; Brca1f/f  post-7 days saline,12/8/15,0.28,0.12,0.07,0.08,,5.56,9.2,31.7,57,16.5,29,17.5,162,6.8,Cyclophosphamide Experiment 4 - Day 7,saline,7,,Cyclophosphamide Experiment 4 - Day 7,42404,,18809-2-TX10
18810-2-TX10 >8 - 12,18810-2-TX10 >8 - 12-1,18810-2-TX10 >8 - 12-1,18810-2-TX10 >8 - 12-1,yes,8.2,Female,1,1,,,18810-2-TX10 >8 - 12-1,TX10-2 WT post-7 days saline >8 - 12,2/4/16,18810-2-TX10,TX10-2 WT post-7 days saline,12/8/15,6.42,3.52,2.15,0.71,,7.84,11.6,40.5,51.7,14.8,28.6,17.3,991,4.4,Cyclophosphamide Experiment 4 - Day 7,saline,7,,Cyclophosphamide Experiment 4 - Day 7,42404,,18810-2-TX10
18815-2-TX10 >8 - 12,18815-2-TX10 >8 - 12-1,18815-2-TX10 >8 - 12-1,18815-2-TX10 >8 - 12-1,yes,8.2,Male,1,1,,,18815-2-TX10 >8 - 12-1,TX10-2 Vav-cre; Brca1f/f  post-7 days saline >8 - 12,2/4/16,18815-2-TX10,TX10-2 Vav-cre; Brca1f/f  post-7 days saline,12/8/15,0.32,0.01,0.24,0.06,,2.24,3.9,14,62.3,17.4,27.9,20.9,285,6.5,Cyclophosphamide Experiment 4 - Day 7,saline,7,,Cyclophosphamide Experiment 4 - Day 7,42404,,18815-2-TX10
18819-2-TX10 >8 - 12,18819-2-TX10 >8 - 12-1,18819-2-TX10 >8 - 12-1,18819-2-TX10 >8 - 12-1,yes,8.1,Male,1,1,,,18819-2-TX10 >8 - 12-1,TX10-2 WT post-7 days saline >8 - 12,2/4/16,18819-2-TX10,TX10-2 WT post-7 days saline,12/9/15,11.94,7.62,3.56,0.56,,6.67,10.1,37.6,56.3,15.1,26.9,16.8,860,4.6,Cyclophosphamide Experiment 4 - Day 7,saline,7,,Cyclophosphamide Experiment 4 - Day 7,42404,,18819-2-TX10
,,,,,,,,,,,,Genotype,Date of Bleed,out,Genotype,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),Notes,#N/A,#N/A,,Notes,Date of Bleed,,
,,,,,57.7,,,,,,,Vav-cre; Brca1f/huBKI,2/5/16,16402,Vav-cre; Brca1f/huBKI,12/28/14,4.94,0.93,3.79,0.07,,5.69,8.8,29.2,51.4,15.5,30.1,17.9,635,5.9,Notes,#N/A,#N/A,,Notes,42405,,
,,,,,37.7,,,,,,,mx1-cre; brcaf/f,2/5/16,17353,Mx1-cre; Brca1f/f,5/17/15,4.04,0.71,3.13,0.1,,5.6,8.5,30.7,54.9,15.2,27.7,17.9,499,4.8,Notes,#N/A,#N/A,,Notes,42405,,
,,,,,37.7,,,,,,,mx1-cre; brcaf/f,2/5/16,17355,Mx1-cre; Brca1f/f,5/17/15,2.68,0.82,1.72,0.11,,5.1,8.1,29.1,57.1,15.9,27.8,26.1,963,4.8,Notes,#N/A,#N/A,,Notes,42405,,
,,,,,35.2,,,,,,,mx1-cre,2/5/16,17458,Mx1-cre,6/3/15,7.84,1.39,6.2,0.24,,9.79,13.7,45.6,46.6,14,30,17.6,1025,4,Notes,#N/A,#N/A,,Notes,42405,,
,,,,,35.2,,,,,,,WT (pure),2/5/16,17459,WT,6/3/15,6.76,1.23,5.21,0.3,,10.04,14.3,47.9,47.7,14.2,29.9,17.3,817,4.3,Notes,#N/A,#N/A,,Notes,42405,,
,,,,,31.8,,,,,,,mx1-cre; brcaf/f,2/5/16,17640,Mx1-cre; Brca1f/f,6/27/15,5.28,1.14,3.93,0.21,,10.01,13.6,44.2,44.2,13.6,30.8,17.7,659,4.4,Notes,#N/A,#N/A,,Notes,42405,,
,,,,,31.8,,,,,,,mx1-cre; brcaf/f,2/5/16,17641,Mx1-cre; Brca1f/f,6/27/15,7.36,1.42,5.82,0.1,,9.67,13.1,43.1,44.6,13.5,30.4,17.5,880,4.2,Notes,#N/A,#N/A,,Notes,42405,,
,,,,,31.8,,,,,,,mx1-cre,2/5/16,17642,Mx1-cre,6/27/15,9.74,1.74,7.69,0.29,,9.44,12.9,41.9,44.4,13.7,30.8,18.5,1026,4.1,Notes,#N/A,#N/A,,Notes,42405,,
,,,,,30.4,,,,,,,WT (pure),2/5/16,17757,WT,7/7/15,7.96,1.61,6.12,0.17,,8.67,11.3,38.7,44.6,13,29.2,17.9,799,4.8,Notes,#N/A,#N/A,,Notes,42405,,17757
18139 >12 - 24,18139 >12 - 24-3,,,yes,21.7,Male,3,4,,,,CMV-cre (EX) >12 - 24,2/5/16,18139,CMV-cre (EX),9/6/15,4.54,1.25,3.02,0.18,,7.29,9.9,31.5,43.2,13.6,31.4,17.6,294,4.7,Notes,#N/A,#N/A,,Notes,42405,,
18270 >12 - 24,18270 >12 - 24-1,18270 >12 - 24-1,18270 >12 - 24-1,yes,18.4,Male,1,1,,,18270 >12 - 24-1,WT (pure) >12 - 24,2/5/16,18270,WT,9/29/15,9.96,1.84,7.42,0.47,,9.65,13.6,49.7,51.5,14.1,27.4,16.8,960,4.6,Notes,#N/A,#N/A,,Notes,42405,,18270
18440 >12 - 24,18440 >12 - 24-2,,,yes,14.7,Male,2,6,,,,CMV-cre (EX) >12 - 24,2/5/16,18440,CMV-cre (EX),10/25/15,11.64,2.59,8.76,0.27,,10.38,13.6,44.7,43.1,13.1,30.4,17.2,1017,4.3,Notes,#N/A,#N/A,,Notes,42405,,
18441 >12 - 24,18441 >12 - 24-2,,,yes,14.7,Male,2,6,,,,WT (pure) >12 - 24,2/5/16,18441,WT,10/25/15,10.44,4.83,5.42,0.16,,10.26,14,45,43.9,13.6,31.1,17.8,1070,4,Notes,#N/A,#N/A,,Notes,42405,,
18796 >8 - 12,18796 >8 - 12-1,,18796 >8 - 12-1,yes,8.5,Female,1,2,,,18796 >8 - 12-1,cbp+/- >8 - 12,2/5/16,18796,Cbp+/- (germline) ,12/7/15,8.58,3.55,4.56,0.38,,9.28,13,43.8,47.2,14,29.7,17,687,4.8,Notes,#N/A,#N/A,,Notes,42405,,
18797 >8 - 12,18797 >8 - 12-1,,18797 >8 - 12-1,yes,8.5,Female,1,2,,,18797 >8 - 12-1,WT (pure) >8 - 12,2/5/16,18797,WT,12/7/15,6.88,1.06,5.54,0.23,,7.48,10.5,35.4,47.3,14,29.7,16.6,400,4.6,Notes,#N/A,#N/A,,Notes,42405,,
,,,,,36.5,,,,,,,TX7-7 Vav-cre; Brca1f/+ post-43 days CY,2/5/16,17432-7-TX7,TX7-7 Vav-cre; Brca1f/+ post-43 days CY,5/25/15,5.74,2.58,2.92,0.19,,8.21,12.7,43.1,52.5,15.5,29.5,20.6,1545,4.6,CY Experiment 1 - Day 43 overall,CY,43,50,CY Experiment 1 - Day 43 overall,42405,,17432-7-TX7
,,,,,32.5,,,,,,,TX7-7 Brca15382insC/+ post-43 days CY,2/5/16,17548-7-TX7,TX7-7 Brca15382insC/+ post-43 days CY,6/22/15,5.5,1.27,3.97,0.21,,9.18,13,45.1,49.1,14.2,28.8,20.5,1571,4.1,CY Experiment 1 - Day 43 overall,CY,43,,CY Experiment 1 - Day 43 overall,42405,,17548-7-TX7
,,,,,30.2,,,,,,,TX7-7 Vav-cre; Brca1f/+ post-43 days CY,2/5/16,17761-7-TX7,TX7-7 Vav-cre; Brca1f/+ post-43 days CY,7/8/15,6.12,3.04,2.77,0.3,,9.07,13.7,46.8,51.6,15.1,29.3,18.4,1441,4.6,CY Experiment 1 - Day 43 overall,CY,43,,CY Experiment 1 - Day 43 overall,42405,,17761-7-TX7
,,,,,26.5,,,,,,,TX7-7 C57BL6 post-43 days CY,2/5/16,17906-7-TX7,TX7-7 C57BL6 post-43 days CY,8/3/15,6.12,2.15,3.71,0.2,,9.08,13.2,47,51.8,14.5,28.1,19,1468,4.9,CY Experiment 1 - Day 43 overall,CY,43,,CY Experiment 1 - Day 43 overall,42405,,17906-7-TX7
,,,,,26.5,,,,,,,TX7-7 C57BL6 post-43 days CY,2/5/16,17907-7-TX7,TX7-7 C57BL6 post-43 days CY,8/3/15,7.32,2.51,4.59,0.21,,9.61,13.9,50.4,52.4,14.5,27.6,18.4,1840,4.5,CY Experiment 1 - Day 43 overall,CY,43,,CY Experiment 1 - Day 43 overall,42405,,17907-7-TX7
,,,,,26.5,,,,,,,TX7-7 C57BL6 post-43 days CY,2/5/16,17908-7-TX7,TX7-7 C57BL6 post-43 days CY,8/3/15,4.96,1.44,3.19,0.25,,7.32,10.9,38.8,53,14.9,28.1,18.2,831,4.6,CY Experiment 1 - Day 43 overall,CY,43,,CY Experiment 1 - Day 43 overall,42405,,17908-7-TX7
,,,,,26.5,,,,,,,TX7-7 C57BL6 post-43 days CY,2/5/16,17909-7-TX7,TX7-7 C57BL6 post-43 days CY,8/3/15,6.04,2.2,3.65,0.18,,9.73,14.1,52.3,53.7,14.5,27,19,1654,4.6,CY Experiment 1 - Day 43 overall,CY,43,,CY Experiment 1 - Day 43 overall,42405,,17909-7-TX7
17975-7-TX7 >12 - 24,17975-7-TX7 >12 - 24-1,17975-7-TX7 >12 - 24-1,17975-7-TX7 >12 - 24-1,yes,24,Female,1,1,,,17975-7-TX7 >12 - 24-1,TX7-7 Vav-cre; Brca1f/+ post-43 days CY >12 - 24,2/5/16,17975-7-TX7,TX7-7 Vav-cre; Brca1f/+ post-43 days CY,8/21/15,7.52,2.62,4.48,0.31,,9.1,14.1,51.4,56.5,15.5,27.4,19.6,996,4.4,CY Experiment 1 - Day 43 overall,CY,43,,CY Experiment 1 - Day 43 overall,42405,,17975-7-TX7
17988-8-TX8 >12 - 24,17988-8-TX8 >12 - 24-1,17988-8-TX8 >12 - 24-1,17988-8-TX8 >12 - 24-1,yes,23.4,Female,1,1,,,17988-8-TX8 >12 - 24-1,TX8-8 Vav-cre; Brca1f/+ post-28 days CY >12 - 24,2/5/16,17988-8-TX8,TX8-8 Vav-cre; Brca1f/+ post-28 days CY,8/25/15,7.32,2.25,4.72,0.25,,8.57,11.8,40.6,47.4,13.8,29.1,18.2,891,4.2,CY Experiment #2 ,CY,28,51,CY Experiment #2 ,42405,,17988-8-TX8
